Období,Vstup,Výstup,Obrat
24.9.2021,780973,775314,1556287
25.9.2021,448356,436398,884754
26.9.2021,386557,376263,762820
27.9.2021,657017,647927,1304944
28.9.2021,394117,386190,780307
29.9.2021,882513,874487,1757000
30.9.2021,884676,879191,1763867
1.10.2021,824420,817781,1642201
2.10.2021,438818,431498,870316
3.10.2021,392325,385078,777403
4.10.2021,869865,860645,1730510
5.10.2021,901127,889494,1790621
6.10.2021,913666,900905,1814571
7.10.2021,897688,886057,1783745
8.10.2021,854109,845249,1699358
9.10.2021,442623,434195,876818
10.10.2021,382799,373809,756608
11.10.2021,868624,861104,1729728
12.10.2021,914174,901239,1815413
13.10.2021,917569,911187,1828756
14.10.2021,909077,904439,1813516
15.10.2021,874384,869921,1744305
16.10.2021,512476,505349,1017825
17.10.2021,414518,408400,822918
18.10.2021,878388,875581,1753969
19.10.2021,906628,900941,1807569
20.10.2021,928370,924855,1853225
21.10.2021,911265,906671,1817936
22.10.2021,846826,843578,1690404
23.10.2021,446958,439332,886290
24.10.2021,389812,384426,774238
25.10.2021,827908,822227,1650135
26.10.2021,855915,850059,1705974
27.10.2021,839306,832187,1671493
28.10.2021,373152,364329,737481
29.10.2021,619037,610491,1229528
30.10.2021,405372,397081,802453
31.10.2021,371835,364939,736774
1.11.2021,868309,861429,1729738
2.11.2021,877984,873553,1751537
3.11.2021,895216,893398,1788614
4.11.2021,882193,873439,1755632
5.11.2021,822023,816240,1638263
6.11.2021,438345,430637,868982
7.11.2021,356399,351640,708039
8.11.2021,835668,831618,1667286
9.11.2021,858641,857312,1715953
10.11.2021,875872,873556,1749428
11.11.2021,861240,860543,1721783
12.11.2021,808713,803497,1612210
13.11.2021,433839,427425,861264
14.11.2021,361247,356216,717463
15.11.2021,825585,823372,1648957
16.11.2021,862729,862443,1725172
17.11.2021,468445,463518,931963
18.11.2021,808047,807320,1615367
19.11.2021,762516,760151,1522667
20.11.2021,416052,409683,825735
21.11.2021,355054,349683,704737
22.11.2021,805331,804987,1610318
23.11.2021,818766,818865,1637631
24.11.2021,820921,821223,1642144
25.11.2021,808229,809627,1617856
26.11.2021,761463,764039,1525502
27.11.2021,412063,409723,821786
28.11.2021,349719,348005,697724
29.11.2021,786861,790545,1577406
30.11.2021,785296,786604,1571900
1.12.2021,796201,796243,1592444
2.12.2021,785576,787629,1573205
3.12.2021,757767,760540,1518307
4.12.2021,411127,405868,816995
5.12.2021,353534,349176,702710
6.12.2021,785653,787783,1573436
7.12.2021,804859,807900,1612759
8.12.2021,824609,827478,1652087
9.12.2021,816272,817057,1633329
10.12.2021,777537,780439,1557976
11.12.2021,436190,431364,867554
12.12.2021,378492,374344,752836
13.12.2021,807613,810548,1618161
14.12.2021,831783,834097,1665880
15.12.2021,863133,862459,1725592
